EnergyImpactID,Version,VersionSource,LastMod,PA,BldgType,BldgVint,BldgLoc,BldgHVAC,NormUnit,NumUnit,MeasArea,ScaleBasis,APreWBkWh,APreWBkW,APreWBtherm,APreWBkWh,APreWBkW,APreWBtherm,APreEUkWh,APreEUkW,APreEUtherm,AStdEUkWh,AStdEUkW,AStdEUtherm,ElecImpactProfileID,GasImpactProfileID,Flag,SourceDesc,APreUseWBkWh,APreUseWBtherm,AStdUseWBkWh,AStdUseWBtherm,AMsrUseWBkWh,AMsrUseWBtherm,APreUseEUkWh,APreUseEUtherm,AStdUseEUkWh,AStdUseEUtherm,AMsrUseEUkWh,AMsrUseEUtherm
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,ECC,Ex,CZ04,cDXGF,Each,1,284000,None,57000,0,-0.0836,57000,0,-0.0836,,,,,,,,,20,,2331000,20554,,,2274000,20554,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,ECC,Ex,CZ05,cDXGF,Each,1,284000,None,92300,20.7,-0.115,92300,20.7,-0.115,,,,,,,,,20,,2130800,20036,,,2038500,20036,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,ECC,Ex,CZ06,cDXGF,Each,1,284000,None,102000,4.59,-0.0573,102000,4.59,-0.0573,,,,,,,,,20,,2270400,17058,,,2167900,17058,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,ECC,Ex,CZ07,cDXGF,Each,1,284000,None,90200,0,-0.0744,90200,0,-0.0744,,,,,,,,,20,,2263900,16855,,,2173700,16855,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,ECC,Ex,CZ08,cDXGF,Each,1,284000,None,72700,0,-0.0717,72700,0,-0.0717,,,,,,,,,20,,2418700,16738,,,2346000,16738,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,ECC,Ex,CZ09,cDXGF,Each,1,284000,None,73300,-0.018,-0.0775,73300,-0.018,-0.0775,,,,,,,,,20,,2452100,17056,,,2378800,17056,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,ECC,Ex,CZ10,cDXGF,Each,1,284000,None,62700,0.001,-0.0273,62700,0.001,-0.0273,,,,,,,,,20,,2473600,17118,,,2410900,17118,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,ECC,Ex,CZ11,cDXGF,Each,1,284000,None,52700,0.026,-0.186,52700,0.026,-0.186,,,,,,,,,20,,2502900,19716,,,2450200,19716,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,ECC,Ex,CZ12,cDXGF,Each,1,284000,None,61900,0.001,-0.12,61900,0.001,-0.12,,,,,,,,,20,,2320500,20356,,,2258600,20357,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,ECC,Ex,CZ13,cDXGF,Each,1,284000,None,54800,0,0.0372,54800,0,0.0372,,,,,,,,,20,,2528200,18409,,,2473400,18409,,,,,,
