TechID,SizingID,BldgType,BldgVint,BldgLoc,BldgHVAC,tstat,normunit,numunits,measarea,kwh_tot,kwh_ltg,kwh_task,kwh_equip,kwh_htg,kwh_clg,kwh_twr,kwh_aux,kwh_vent,kwh_venthtg,kwh_ventclg,kwh_refg,kwh_hpsup,kwh_shw,kwh_ext,thm_tot,thm_equip,thm_htg,thm_shw,deskw_ltg,deskw_equ,lastmod
NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-Cnst,None,SCn,Ex,CZ04,cDXGF,0,Each,1.0,499990.41934355197,3436075.9899999998,850055.03,0,449066.39,0.0,477423.36,0,0,1659527.85,0,0,0.0,0,0,0,29637.80409556314,0.0,26772.66313993174,2865.1409556313993,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-Cnst,None,SCn,Ex,CZ03,cDXGF,0,Each,1.0,499990.41934355197,2759861.57,850055.03,0,449066.39,0.0,62755.37,0,0,1397981.42,0,0,0.0,0,0,0,28292.408873720135,0.0,25343.406825938564,2949.0020477815697,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-Cnst,None,SCn,Ex,CZ02,cDXGF,0,Each,1.0,499990.41934355197,3150396.11,850055.03,0,449066.39,0.0,243113.47,0,0,1608157.86,0,0,0.0,0,0,0,36334.38941979522,0.0,33352.41843003413,2981.970989761092,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-Cnst,None,SCn,Ex,CZ01,cDXGF,0,Each,1.0,499990.41934355197,2867971.36,850055.03,0,449066.39,0.0,1720.7,0,0,1567125.88,0,0,0.0,0,0,0,56285.3290102389,0.0,53103.1566552901,3182.172354948805,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,RtS,Ex,CZ16,cDXOH,0,Each,1.0,16002.597952576001,116444.08,44599.63,0,24440.79,0.0,8617.64,0,0,38782.66,0,0,0.0,0,0,0,561.1774744027304,0.0,0.0,561.1774744027304,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,RtS,Ex,CZ15,cDXOH,0,Each,1.0,16002.597952576001,162763.68,44599.63,0,24440.79,0.0,49547.9,0,0,44172.0,0,0,0.0,0,0,0,453.5890784982935,0.0,0.0,453.5890784982935,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,RtS,Ex,CZ14,cDXOH,0,Each,1.0,16002.597952576001,133710.52,44599.63,0,24440.79,0.0,25688.34,0,0,38978.4,0,0,0.0,0,0,0,512.9849829351535,0.0,0.0,512.9849829351535,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,RtS,Ex,CZ13,cDXOH,0,Each,1.0,16002.597952576001,136831.18,44599.63,0,24440.79,0.0,27628.56,0,0,40158.84,0,0,0.0,0,0,0,503.8047781569966,0.0,0.0,503.8047781569966,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,RtS,Ex,CZ12,cDXOH,0,Each,1.0,16002.597952576001,123523.86,44599.63,0,24440.79,0.0,18006.45,0,0,36473.63,0,0,0.0,0,0,0,525.6689419795222,0.0,0.0,525.6689419795222,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,RtS,Ex,CZ11,cDXOH,0,Each,1.0,16002.597952576001,135485.11,44599.63,0,24440.79,0.0,26291.84,0,0,40149.49,0,0,0.0,0,0,0,510.4129692832764,0.0,0.0,510.4129692832764,1,1,2026-07-16 22:51:30.560719
