File Name,Net Site EUI (kWh/m2),Net Site Energy (kWh),Net Source EUI (kWh/m2),Net Source Energy (kWh)
CZ01/OfS&0&cDXHP&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-SRM/instance-out.sql,51.92,96498.98,143.81,267265.45
CZ01/RFF&0&cDXHP&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-Cnst/instance-out.sql,269.98,100232.34,609.47,226270.96
CZ01/RFF&0&cDXHP&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-VFDStdMtr/instance-out.sql,248.82,92377.42,538.79,200029.51
CZ01/RFF&0&cDXHP&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-SRM/instance-out.sql,247.86,92021.94,535.59,198842.05
CZ01/RSD&0&cDXHP&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-Cnst/instance-out.sql,240.26,250108.19,494.02,514271.58
CZ01/RSD&0&cDXHP&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-VFDStdMtr/instance-out.sql,236.07,245746.16,479.55,499202.62
CZ01/RSD&0&cDXHP&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-SRM/instance-out.sql,235.90,245566.32,478.95,498581.20
CZ01/Rt3&0&cDXHP&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-Cnst/instance-out.sql,86.86,1936740.57,270.00,6020122.83
CZ01/Rt3&0&cDXHP&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-VFDStdMtr/instance-out.sql,71.00,1583096.11,216.95,4837263.00
CZ01/Rt3&0&cDXHP&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-SRM/instance-out.sql,70.34,1568436.05,214.75,4788247.09
CZ01/RtL&0&cDXHP&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-Cnst/instance-out.sql,161.38,1956582.13,504.96,6122191.03
CZ01/RtL&0&cDXHP&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-VFDStdMtr/instance-out.sql,132.39,1605103.66,408.14,4948238.40
CZ01/RtL&0&cDXHP&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-SRM/instance-out.sql,131.17,1590297.43,404.06,4898785.24
CZ01/RtS&0&cDXHP&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-Cnst/instance-out.sql,80.24,119295.90,242.28,360199.70
CZ01/RtS&0&cDXHP&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-VFDStdMtr/instance-out.sql,67.20,99908.21,198.73,295444.75
CZ01/RtS&0&cDXHP&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-SRM/instance-out.sql,66.65,99084.73,196.88,292694.34
CZ01/SCn&0&cDXHP&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-Cnst/instance-out.sql,69.92,3247724.28,228.92,10633605.16
CZ01/SCn&0&cDXHP&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-VFDStdMtr/instance-out.sql,50.50,2345663.93,164.06,7620723.59
CZ01/SCn&0&cDXHP&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-SRM/instance-out.sql,49.66,2306675.90,161.26,7490503.57
CZ01/Asm&0&cDXOH&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst/instance-out.sql,84.00,530735.68,271.77,1717080.62
CZ01/Asm&0&cDXOH&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-VFDStdMtr/instance-out.sql,58.10,367094.85,185.27,1170520.08
CZ01/Asm&0&cDXOH&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-SRM/instance-out.sql,57.07,360567.35,181.82,1148718.22
CZ01/ECC&0&cDXOH&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst/instance-out.sql,90.75,2396031.57,254.32,6714682.02
CZ01/ECC&0&cDXOH&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-VFDStdMtr/instance-out.sql,77.81,2054492.07,211.10,5573639.60
CZ01/ECC&0&cDXOH&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-SRM/instance-out.sql,77.28,2040495.31,209.33,5526872.63
CZ01/EPr&0&cDXOH&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst/instance-out.sql,96.02,363484.33,238.15,901491.23
CZ01/EPr&0&cDXOH&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-VFDStdMtr/instance-out.sql,82.92,313887.45,194.39,735837.21
CZ01/EPr&0&cDXOH&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-SRM/instance-out.sql,82.41,311937.10,192.67,729323.02
CZ01/ERC&0&cDXOH&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst/instance-out.sql,62.79,16820.71,127.76,34224.94
CZ01/ERC&0&cDXOH&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-VFDStdMtr/instance-out.sql,53.87,14431.66,97.97,26245.42
CZ01/ERC&0&cDXOH&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-SRM/instance-out.sql,53.56,14347.69,96.92,25964.95
CZ01/ESe&0&cDXOH&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst/instance-out.sql,180.97,1250919.30,419.00,2896241.54
CZ01/ESe&0&cDXOH&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-VFDStdMtr/instance-out.sql,173.17,1197015.47,392.53,2713231.31
CZ01/ESe&0&cDXOH&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-SRM/instance-out.sql,172.84,1194719.61,391.40,2705415.16
